"objid","modelmag_u","modelmag_g","modelmag_r","modelmag_i","modelmag_z","z"
"1237663479261495522","20.03532","19.56768","19.30333","19.09363","19.05866","1.610956"
"1237663479798366998","24.87755","22.5168","21.64933","21.32997","20.59051","0.8013808"
"1237663479798300882","19.53744","19.16352","18.91967","18.61558","18.5212","1.602958"
"1237663479798301396","23.50761","22.7733","22.28098","21.87727","21.20749","0.8592307"
"1237657190904627275","20.01481","19.58667","19.33968","19.0181","18.86069","1.810408"
"1237663784196702890","24.34918","22.81584","22.48024","21.79413","21.23343","0.7835322"
"1237657190904496130","19.3371","19.13463","19.07541","18.93648","18.94616","2.085108"
"1237663784196440339","21.97831","22.00642","22.88697","20.92538","20.33901","0.876905"
"1237663784196375325","22.87449","22.85117","22.25747","21.45458","20.67388","1.015801"
"1237657191977975826","18.95966","18.9067","18.69529","18.72032","18.81868","1.146926"
"1237657191977713683","17.90843","17.85408","17.85637","17.52687","17.33475","2.002368"
"1237657190903841626","24.51487","22.17823","21.45076","20.71268","19.89257","0.8076124"
"1237666408441184363","19.56247","19.39317","19.14271","19.09017","18.92776","1.117213"
"1237663277926449292","20.47397","20.0486","19.18759","18.83168","18.77691","2.537262"
"1237663277926252916","20.5736","20.32966","20.28972","20.01987","19.82769","1.534835"
"1237663277926121590","19.80889","19.36291","19.3786","19.11181","18.99879","0.5232424"
"1237663278462993071","23.82596","22.00917","22.07097","22.24723","20.7553","6.85494"
"1237678617416237806","22.57155","22.00914","21.37501","20.70009","20.14636","0.8695461"
"1237678617415516323","19.993","19.90417","19.67292","19.62666","19.42606","2.066627"
"1237678617952452730","23.94126","22.61906","22.2354","21.62263","21.94332","1.763599"
"1237678617952387915","23.26989","23.03982","22.26381","21.53738","21.29853","5.789968"
"1237678617415647721","22.71698","22.58058","21.79252","21.23501","20.93618","0.4739337"
"1237678595940746060","22.36263","22.32154","21.29506","21.5871","19.58292","1.331526"
"1237678617952519204","23.11777","23.0702","22.00669","21.89678","21.06397","1.008877"
"1237678595940877181","23.26856","21.90198","21.32282","21.6265","20.29976","1.155965"
"1237657191976992804","23.37635","22.89077","22.31117","21.53306","20.87483","0.8701019"
"1237663278462468866","22.3772","22.28517","21.98553","21.18544","20.70136","0.6895249"
"1237678617952584042","21.03108","20.44473","20.26461","20.25304","20.01534","2.466722"
"1237678595940876796","23.59878","21.12479","20.65825","20.49748","20.32005","3.25138"
"1237655125010088314","22.89378","21.32934","21.40097","21.02676","20.67097","2.28861"
"1237668675622797738","23.51141","21.5997","21.35265","21.24781","21.32388","2.00778"
"1237655125546959326","22.36664","21.00677","20.3367","19.78129","19.28942","2.63217"
"1237654880724582674","21.60821","20.90782","20.67693","20.84223","20.7048","2.71351"
"1237654880724517142","21.08696","20.45323","20.33287","20.0929","19.79988","1.566073"
"1237655126083764459","21.52091","20.97404","20.89216","20.8523","20.36539","2.207874"
"1237654881261322749","23.46636","21.509","21.16394","21.0448","20.78658","3.046278"
"1237655125010022641","21.74631","21.35042","21.33121","21.2257","20.84313","2.22176"
"1237655125009957115","22.21607","20.27588","19.88548","19.86227","19.68854","3.293773"
"1237668675622732020","21.03558","20.61458","20.41458","20.42352","20.0023","0.9935942"
"1237668675622732164","22.37092","21.69557","21.5399","21.63756","22.27327","2.516811"
"1237655125546893334","18.27873","18.04299","18.00579","17.77284","17.74077","1.600846"
"1237654881261322556","25.14272","21.93345","21.39668","21.47184","21.27713","2.999646"
"1237668675622535780","22.51128","20.67558","20.48929","20.33024","20.24826","3.068416"
"1237668675622600721","25.20716","21.2718","21.00145","21.16703","20.91512","3.074983"
"1237668675622469959","21.3625","20.78471","20.48984","20.6202","20.33462","2.442063"
"1237655125546762539","21.78352","20.79789","20.29098","19.98805","19.51739","2.34084"
"1237654880724320560","22.06972","19.27924","18.80755","18.74461","18.61153","3.314734"
"1237655126083567769","19.31414","18.91025","18.86842","18.83298","18.55029","2.228573"
"1237654881261191393","21.04832","20.38581","20.17823","20.23136","19.96236","2.586613"
"1237655125546631172","24.02533","21.54309","21.18246","21.09142","21.23503","1.205722"
"1237655126620307720","20.87507","20.25401","20.27527","20.22642","20.23257","2.408377"
"1237654606947483666","21.0503","19.98269","20.03078","20.00348","19.84769","2.362371"
"1237655125547942029","21.10609","19.8762","19.69101","19.52539","19.50408","2.808509"
"1237655126084944078","21.3368","20.91067","20.78293","20.67569","20.31739","2.32706"
"1237654881262502506","24.65734","21.07363","20.4733","20.32464","20.23145","3.280336"
"1237654881262567542","19.96675","19.54761","19.38292","19.35271","19.00015","0.3768736"
"1237655126621815175","23.37296","21.91226","21.79085","21.49538","21.89668","1.772371"
"1237655125547942115","21.54507","21.02735","20.95662","20.7958","20.5274","1.531046"
"1237654880725565465","17.51604","17.25654","17.17094","16.99589","17.02361","1.545805"
"1237655126084813405","22.31243","21.0971","21.16431","20.91406","20.43795","2.225813"
"1237654881262437053","23.34104","20.87968","20.74447","20.68429","20.32864","3.066893"
"1237655126084813070","21.84514","21.37403","21.12914","21.2147","21.65477","2.647865"
"1237668675623715559","23.66703","22.04918","20.71374","19.70104","19.10292","2.076391"
"1237655125547876859","24.01384","21.12486","20.7221","20.60049","21.22314","3.389551"
"1237654880725434616","20.94602","20.29713","20.30458","20.22345","19.87879","2.284468"
"1237655126084813045","22.00333","21.56748","21.49264","21.37726","21.33782","1.575734"
"1237668675623584074","22.46145","21.25465","19.97504","19.19423","18.84242","0.4788894"
"1237654881262305575","22.17254","21.43682","20.7583","20.33432","20.41792","1.818591"
"1237655126084681901","23.54152","21.79116","21.55317","21.22558","20.74","2.516064"
"1237655126084616437","21.30193","20.84678","20.60254","20.35389","19.91424","2.063934"
"1237655126621618587","25.72521","21.93613","21.76022","21.25501","21.64105","1.970651"
"1237671763715096925","22.23631","20.7006","20.41219","20.40957","20.45031","2.802085"
"1237671763715227866","21.73392","21.163","21.21472","21.00633","20.88348","1.728348"
"1237671763715162385","22.04798","21.30594","21.24143","21.15062","20.61825","2.26026"
"1237671763715490415","25.01359","21.67833","21.21581","21.1732","20.85692","3.398526"
"1237671763715031303","21.03119","20.5244","20.12497","19.42231","19.20308","0.4769586"
"1237671763715162974","22.56957","21.43241","21.31658","21.17769","21.12268","2.77221"
"1237671266573156423","20.45336","19.2626","18.99165","18.81545","18.81903","2.889673"
"1237671764252885201","21.39727","20.72285","20.72373","20.5348","20.20787","0.7819865"
"1237671764252688432","22.67502","21.45346","21.23195","20.92436","20.42509","0.7588007"
"1237661970651545610","24.9103","22.01698","21.28438","21.46242","21.38751","3.262208"
"1237661970651480932","22.2953","21.63456","21.61681","21.37688","20.85633","0.771386"
"1237671764252557480","21.8792","20.09277","19.59145","19.14114","18.95191","3.163729"
"1237671764252492367","23.03896","21.7559","21.62801","21.61292","21.17218","2.669693"
"1237671764252426513","21.34198","20.89508","20.81116","20.77405","20.82009","2.159735"
"1237671764252426939","23.3585","21.89088","21.76333","21.85854","21.71906","2.658748"
"1237661970651611749","23.2388","21.9567","21.85392","21.57873","20.89833","2.353236"
"1237661970114675500","24.55967","21.57474","21.28131","21.19955","21.16106","2.945336"
"1237655125549973763","22.16319","20.33804","20.10502","20.11381","20.08731","3.137832"
"1237654880727662601","18.72609","18.14227","17.99282","17.98967","17.82977","2.407824"
"1237654881264599363","20.74229","20.29231","20.21063","20.21787","20.10214","2.252074"
"1237655126623846728","22.7376","21.76227","20.19621","19.42888","18.9865","0.4731867"
"1237654880727531836","21.045","20.56278","20.2178","19.84587","19.9904","0.6337423"
"1237655126086844769","21.88447","21.29345","21.19748","21.18624","20.51513","2.423477"
"1237654881264468059","19.12363","19.02128","18.82158","18.72017","18.77628","1.193431"
"1237654881264468246","22.14159","21.53188","21.55238","21.84768","20.8751","2.22505"
"1237654881264533802","21.0607","20.50704","20.42258","20.33719","19.99827","2.341489"
"1237671264425410998","22.52785","21.85057","21.65831","21.66993","21.80025","1.386937"
"1237671264425476379","21.98983","21.28789","21.42017","21.39557","21.2167","2.182047"
"1237671264425476726","22.22594","21.77534","20.36349","19.35286","18.73588","1.239911"
"1237671762641682763","21.72574","21.241","20.9663","20.6881","20.15907","2.251849"
"1237655126623649923","20.82128","19.99534","19.9132","19.93883","19.75846","2.872056"
"1237671264425607660","22.85753","21.43085","21.40311","21.1634","20.5755","2.2716"
"1237671762641813798","20.68476","20.06207","19.95975","19.9506","19.83352","2.512491"
"1237671762641879697","23.94109","20.90192","19.94269","19.74314","19.75922","3.593699"
"1237671991876322136","23.74993","21.83803","21.24848","20.71695","20.35711","0.6823546"
"1237671991876256028","21.48708","20.77342","20.67547","20.55914","20.22343","0.6724355"
"1237671957516976181","26.12152","21.16155","19.98367","19.78108","19.72659","3.86377"
"1237671957516911124","22.50422","21.87166","21.42535","20.99048","20.33793","1.008265"
"1237671956980368323","22.41583","21.53031","21.50412","21.6048","21.49479","2.453087"
"1237671991339450517","20.91724","19.63509","19.50375","19.53713","19.4611","2.749876"
"1237671991339385364","24.50127","22.25109","21.39351","21.44142","21.05664","3.613024"
"1237671956980367585","19.21031","18.93154","18.88765","18.78298","18.43076","2.184297"
