"objid","modelmag_u","modelmag_g","modelmag_r","modelmag_i","modelmag_z","z"
"1237649962989453624","23.42869","22.7885","21.18182","19.20963","18.02291","1.531714E-05"
"1237649962989453320","17.29439","16.85183","16.83959","16.27645","15.66171","0.0002014934"
"1237649962989387793","27.48712","17.71501","23.03524","17.58676","25.58656","0.0002942529"
"1237652900767138001","22.36891","21.85637","20.24688","18.33907","17.27639","0.0001015612"
"1237652901841010727","19.88081","19.4508","19.35907","18.77203","18.27039","0.0001262959"
"1237679338962157617","19.80248","19.58603","19.71328","19.9713","20.17315","1.393317E-05"
"1237649962989584390","17.92778","16.6738","16.76995","16.88689","16.94992","-0.0001309873"
"1237649962452648069","24.5623","21.84488","20.32663","18.29723","17.18455","0.0001064897"
"1237652900767334482","16.92983","15.92726","15.60161","15.47201","15.46045","0.0006850567"
"1237652901304270867","17.51468","16.18233","16.24978","16.34851","16.40474","0.0005336588"
"1237654028719227096","28.81771","17.10925","16.56733","16.36541","16.27926","6.970454E-05"
"1237651752934113307","18.19497","17.16262","16.77717","16.60953","16.5698","0.0001361335"
"1237651753470853223","17.55042","16.68936","16.33303","16.17355","16.11464","-0.0001560778"
"1237654029255704606","17.86786","17.62986","17.66417","17.66436","17.69855","0.0002190598"
"1237651752396914808","17.21646","16.07906","15.69426","15.56155","15.52914","0.0003284775"
"1237654028718964789","20.11844","30.0189","18.76745","18.62608","18.63302","0.0001691721"
"1237654605855850671","20.61934","19.43091","18.99754","18.82706","18.80232","-7.698582E-06"
"1237654601561014391","17.51637","16.39203","16.00579","15.80205","15.67113","0.0001273908"
"1237654605319045122","18.16051","17.10373","16.75511","16.63371","16.60292","-0.0001424095"
"1237654601561080047","20.51189","18.44408","17.56853","17.23219","17.01411","3.234876E-05"
"1237653665794293810","18.59786","17.28208","17.38563","17.49736","17.56101","0.000322779"
"1237653665794229088","24.10253","24.24851","22.16941","19.79528","18.12251","-6.43976E-05"
"1237654599951450275","19.65326","18.53487","18.61017","18.67099","18.75332","-0.0003183309"
"1237654604246286487","20.15064","19.67724","19.76354","19.77134","19.88486","4.592286E-05"
"1237654600488255789","20.21751","20.22617","20.59372","20.80884","20.87884","-0.0002966782"
"1237654604246090188","22.36899","21.62715","21.27245","20.51712","19.81092","0.001807765"
"1237654604246221085","20.49837","20.31005","20.56415","20.96337","20.82892","0.0001951667"
"1237654599951450476","20.29968","20.46524","20.81782","21.25507","21.60177","-0.0002661455"
"1237654604246220919","19.31898","18.18777","17.80109","17.66804","17.62956","0.000249757"
"1237654600488321030","19.13464","17.82831","17.85579","17.91068","17.98713","0.0002486427"
"1237654604783157391","19.66047","18.53299","18.55739","18.59948","18.61084","0.0005407289"
"1237654605320028711","23.95886","22.36228","20.91943","19.39546","18.56382","0.0001290198"
"1237654604783289070","24.91745","24.59166","22.35044","20.18324","18.67668","0.000215827"
"1237654600488059867","25.14021","23.68554","23.11048","20.53106","18.9248","0.0001895475"
"1237654600488124473","18.24897","17.22779","16.9024","16.77495","16.75843","0.0001627201"
"1237654605319962941","25.83122","23.83271","21.53849","19.01797","17.57027","-8.608832E-05"
"1237654605319897149","17.7454","16.57976","16.65248","16.75217","16.8493","0.0002164061"
"1237654605319831797","24.26828","22.07656","20.51584","18.43675","17.28183","2.946761E-05"
"1237654600487862537","24.28091","21.05521","19.57747","18.87097","19.26549","7.793286E-05"
"1237654605319766033","18.82575","17.64099","17.06956","16.56746","16.22896","-4.8244E-05"
"1237653665793900580","18.69686","17.65712","17.21373","17.05139","16.99258","0.0001245259"
"1237654949450416245","16.60824","15.51284","15.39514","15.42133","15.47931","-0.0002456444"
"1237651538724519969","19.31257","18.17734","18.1595","18.2374","18.30106","-0.001037697"
"1237651538187715310","24.13579","22.22527","20.42484","19.23624","18.44527","-0.0001494663"
"1237651538187649334","22.53518","20.56857","19.71625","19.47355","19.95883","-0.0009196783"
"1237654948913545239","18.66845","17.79613","17.48106","17.35263","17.30136","-0.0006934569"
"1237654948913414301","24.1258","24.583","18.70331","25.14377","22.5747","-0.003115592"
"1237654948913414165","17.95021","17.01658","16.69924","16.5854","16.56598","-0.0005727215"
"1237651538187976757","19.05136","18.08134","17.81184","17.69755","17.69394","-0.0005452755"
"1237654948913807369","16.34876","15.16947","15.16417","15.19574","15.23744","-0.0002003717"
"1237648721215816394","23.37505","21.05573","20.06845","19.68802","18.99398","0.000385456"
"1237650795682988170","19.10081","17.83195","17.27917","17.0898","16.98027","0.0003758192"
"1237650795682988135","18.4085","17.16402","16.95854","16.87708","16.88028","0.0006633649"
"1237648720678813718","16.94769","15.68956","15.6881","15.73242","15.80791","-0.0003828644"
"1237650795682922628","17.65463","16.52501","16.14332","15.99839","15.95519","-0.0001019948"
"1237651799622680623","19.64516","18.46974","17.96894","17.93103","17.75591","0.0002441445"
"1237650795684167831","17.72202","16.56575","16.15912","15.99926","15.95605","0.0003602553"
"1237648721216864346","17.55001","16.26476","15.71965","15.58172","15.51661","6.80852E-05"
"1237651799622549759","22.58308","20.19563","18.79206","18.19383","17.81592","6.838652E-05"
"1237650795147034650","18.987","17.66152","17.23423","17.0581","16.97153","0.0003561869"
"1237648720679731356","20.14039","19.02472","18.90889","18.94321","18.95576","0.0002325052"
"1237648720679731206","17.6466","16.46979","16.05476","15.90236","15.79842","0.0002479524"
"1237650794609967319","22.08754","19.27412","17.8539","16.9868","16.50531","0.0001258202"
"1237650795146772611","19.92295","18.63192","17.99677","17.829","17.67813","-0.000107002"
"1237648720142729345","18.1613","17.03791","16.63783","16.51234","16.4349","0.0004456736"
"1237650796220645482","18.42059","18.48429","18.83872","19.11143","19.35358","-0.0001549117"
"1237651801233752349","22.52952","21.93192","21.28724","18.83464","17.55248","3.392488E-05"
"1237648721754194301","23.85165","20.90929","19.43042","18.91536","18.00374","0.0001790763"
"1237651801770950678","18.93571","18.53748","18.70605","18.91966","19.07875","-8.633265E-05"
